"asv_id","chi_sq","df","p_value","effect_size","q_value","Taxon","Confidence"
"65d765be7a0cedf129dca903f35b0dba",12.8549591672814,2,0.00161652000779987,0.0902956708937401,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__",0.984820241546633
"af859cb6f717c987036857708444d295",9.25453538144616,2,0.00978144856646337,0.0736957218365857,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__",0.999936342262358
"de61860db8d93da85692dffb5cf32ab9",9.03089693958451,2,0.0109386983508665,0.0231864079774833,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__",0.999999861609406
"9bf0d2dbffe7925240ea811d2a4cd625",8.77651294551123,2,0.0124223690890578,0.0494319739260794,0.735793072170905,"k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__",0.853007266073693
"012dcd9c92ce882bdfedc81c8988ace0",8.44318936877013,2,0.0146752234855585,0.064451827242525,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae; g__Syntrophomonas",0.713907363714561
"7b6f8858b481821ad1aae2e8d796fae6",8.33990145340392,2,0.0154530215264862,0.0458239220345783,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__",0.99890871322576
"2d05942a2a1d3b2b0e2d450ddd21c1a4",8.17511763273082,2,0.0167801470199173,0.0711820224309458,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae",0.991927119427888
"5e69d50b5a886d1b222f36de84a9dc98",8.03194918896022,2,0.0180253785529665,0.0388486221370077,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__",0.913721534642226
"bd0f4e14387ee1ac7e5fe586cadbbed4",7.95658484626624,2,0.0187175737606901,0.0406339325272788,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__",0.999748001533499
"0d3b942348cade7e1c41ac52df03e63e",7.93068541619916,2,0.0189615372264095,0.0253825346374911,0.735793072170905,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__",0.999992384144715
"c1365ec008032ee718dcafaf5ac17adb",7.4775356345393,2,0.0237833905669891,0.0268048787707467,0.735793072170905,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__",0.996903747763933
"1b94d2103bf4c355d7e720eb6c827711",7.32927356711591,2,0.0256134728288426,0.0521064902673101,0.735793072170905,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bartonellaceae; g__Bartonella",0.998994393879829
