"ASVstring.y","ASVstring.x","Var2","Var1","pval","qval","rho","n","trt","Kingdom.x","Phylum.x","Class.x","Order.x","Family.x","Genus.x","Species.x","Kingdom.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","Species.y"
"010f0ac2691bc0be12d0633d4b5d2cc4","7b2ff5940de11da4dc3bb208805dff11","ASV59","ASV505",0.0016036404218267,0.048977009220646,0.380907341850249,22,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified_Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","3128e057b1d4f320961e4da677724613","ASV59","ASV248",1.10620463962263e-05,0.000559202959780754,-0.512111004368933,16,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","symbiosum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","92f000f936d3f349c5e7719a5edc5078","ASV59","ASV420",0.000930945751078216,0.0328065574933623,0.53490743673983,11,"MedWL - Post","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","ba88d4e4e6a24ecc2a5aab6bdfbb77f5","ASV59","ASV397",0.000150690014470545,0.00687554498509267,0.597518290189088,13,"MedWL - Post","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified_Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","1986030e3c5cd5df6d869054bc96e536","ASV59","ASV148",2.86616772744441e-05,0.00133988030230258,0.490802150555241,31,"Baseline","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","ee02d6d3506da57909d5e603709a295f","ASV59","ASV196",0.00109812519693686,0.038463285741708,0.528568591783681,15,"MedWL - Post","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","4d04d759f5a6615dac43060726239891","ASV59","ASV87",0.000144528474719685,0.00568150836715633,0.450992171511683,34,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified_Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","1fa555f9a74d47a6ca7a65a347bc885f","ASV59","ASV89",0.000816741761111572,0.028938791584885,0.539844135553352,21,"MedWL - Post","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified_Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","059c8f8bb468064b134ea6d3661761ea","ASV59","ASV61",0.000299155586775068,0.0120429309190852,0.575385815140615,20,"MedWL - Post","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified_Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","ee02d6d3506da57909d5e603709a295f","ASV59","ASV196",2.95502815246262e-05,0.0013806969097709,0.490094688419165,30,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","ea3af29626a95b6c7b89d631bf1a739c","ASV59","ASV71",0.000694266875487459,0.0239907177859942,0.407046638511615,37,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified_Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","6a6880faba39965be0e4b7d88966d1c9","ASV59","ASV165",3.86375371164149e-06,0.000200742845819052,0.534100650469202,31,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","4311a44a7d56ce4086afad3e75bedd6e","ASV59","ASV94",0.00115716411598799,0.036616178622669,-0.391349430620251,47,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","unclassified_Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","c942f59feffce9c3ab527135de234101","ASV59","ASV44",5.70955149057362e-05,0.00248315692644211,0.474441537032664,47,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","inulinivorans","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"010f0ac2691bc0be12d0633d4b5d2cc4","059c8f8bb468064b134ea6d3661761ea","ASV59","ASV61",0.000134232763829401,0.00528275815878359,0.452921584266418,36,"Baseline","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified_Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
